question	correct	wrong1	wrong2	wrong3	explanation
Economics is best defined as the study of how	people allocate scarce resources	governments rule	companies advertise	prices rise	Economics examines the choices people and societies make under conditions of scarcity.
Scarcity refers to the fact that	wants exceed available resources	resources are unlimited	prices are too high	the economy is failing	Scarcity exists because human wants are unlimited while productive resources are limited.
The law of demand states that, all else equal, as price increases the quantity demanded	decreases	increases	stays the same	doubles	Higher prices discourage purchases, so quantity demanded moves down along the demand curve.
A movement along the supply curve is caused mainly by a change in	the good's own price	consumer income	advertising	taxes on consumers	A change in the good's price moves us along the curve; other factors shift the whole curve.
Equilibrium price is the price at which	quantity demanded equals quantity supplied	supply exceeds demand	demand exceeds supply	the government sets prices	At equilibrium there is no shortage or surplus and the market clears.
Opportunity cost is best described as	the value of the next best alternative given up	the cash paid for a good	a tax on profits	the cost of advertising	Every choice has an opportunity cost equal to the benefit of the next best option not chosen.
Which one of the following is NOT a factor of production?	money	land	labour	capital	Money is a medium of exchange; the four factors of production are land, labour, capital, and entrepreneurship.
A market with only one seller is called a	monopoly	monopsony	oligopoly	perfect competition	A monopoly exists when a single seller dominates the supply of a product with no close substitutes.
GDP stands for	Gross Domestic Product	General Demand Profit	Gross Direct Production	Global Domestic Profit	GDP measures the total monetary value of all final goods and services produced within a country in a year.
Inflation is best described as	a sustained rise in the general price level	a fall in unemployment	an increase in exports	rising wages only	Inflation happens when the average price of goods and services rises over time, reducing purchasing power.
A normal good is one whose demand	rises as consumer income rises	falls as income rises	is unaffected by income	doubles each year	By definition, demand for a normal good moves in the same direction as consumer income.
The opposite of a market surplus is a	shortage	depression	recession	deflation	A shortage occurs when quantity demanded exceeds quantity supplied at the current price.
