question	correct	wrong1	wrong2	wrong3	explanation
Which three countries co-hosted the 2026 FIFA World Cup?	Canada, Mexico, United States	USA, Brazil, Argentina	USA, Mexico, Costa Rica	Canada, USA, England	Canada, Mexico and the United States shared hosting, the first World Cup hosted by three nations.
How many teams competed in the 2026 World Cup (the first expansion of its kind)?	48	32	40	52	The field expanded from 32 to 48 teams for the first time in 2026.
On what date did the 2026 World Cup final take place?	19 July 2026	15 July 2026	18 July 2026	20 July 2026	The final was played on 19 July 2026.
Who won the 2026 FIFA World Cup?	Spain	Argentina	France	England	Spain lifted the trophy, their second world title after 2010.
What was the final score in the 2026 World Cup final?	Spain 1-0 Argentina (after extra time)	Spain 2-1 Argentina	Argentina 1-0 Spain	Spain 3-1 Argentina	Spain won 1-0 in extra time.
Who scored the winning goal in the final?	Ferran Torres	Lamine Yamal	Rodri	Nico Williams	Ferran Torres scored the only goal of the final.
In which minute was the winning goal of the final scored?	106'	89'	94'	119'	The goal came in the 106th minute, early in extra time.
Where was the 2026 World Cup final played?	MetLife Stadium, New Jersey	SoFi Stadium, Los Angeles	AT&T Stadium, Arlington	Estadio Azteca, Mexico City	The final was held at MetLife Stadium in East Rutherford, New Jersey.
Who won the adidas Golden Ball (best player of the tournament)?	Rodri	Lionel Messi	Kylian Mbappe	Jude Bellingham	Rodri was named the tournament's best player.
Who won the Golden Boot (top scorer)?	Kylian Mbappe (10 goals)	Lionel Messi (8 goals)	Jude Bellingham (7 goals)	Erling Haaland (7 goals)	Mbappe topped the scoring charts with 10 goals.
Who won the Golden Glove (best goalkeeper)?	Unai Simon	Emiliano Martinez	Alisson	Gianluigi Donnarumma	Spain's Unai Simon was named the best goalkeeper.
Who won the Young Player Award?	Pau Cubarsi	Lamine Yamal	Arda Guler	Endrick	Pau Cubarsi was named the best young player.
What was the score of the semi-final between Spain and France?	Spain 2-0 France	Spain 1-0 France	France 2-1 Spain	Spain 3-2 France	Spain beat France 2-0 to reach the final.
What was the score of the other semi-final, Argentina vs England?	Argentina 2-1 England	Argentina 1-0 England	England 2-1 Argentina	Argentina 3-1 England	Argentina edged England 2-1 to reach the final.
What was the score of the third-place match?	England 6-4 France	France 2-1 England	England 3-2 France	France 4-3 England	England won a high-scoring third-place playoff 6-4.
How many total matches were played in the 2026 tournament?	104	64	80	96	The 48-team format expanded the tournament to 104 matches.
How many goals did Spain concede across the entire tournament en route to the title?	1	0	2	3	Spain conceded just one goal on the way to winning.
Which of these nations made their World Cup debut in 2026?	Cape Verde	Qatar	Morocco	Senegal	Cape Verde reached the World Cup for the first time in 2026.
All three host nations were eliminated at which stage?	Round of 16	Group stage	Round of 32	Quarter-finals	Canada, Mexico and the USA all went out in the Round of 16.
Who finished second on the Golden Boot table with 8 goals?	Lionel Messi	Jude Bellingham	Harry Kane	Erling Haaland	Messi finished second in scoring with 8 goals.
Which player scored a hat-trick in the third-place match?	Bukayo Saka	Kylian Mbappe	Jude Bellingham	Ousmane Dembele	Bukayo Saka scored three in England's 6-4 win.
What was the approximate total attendance for the entire tournament (a new record)?	About 6.8 million	About 4.5 million	About 5.8 million	About 7.5 million	Around 6.8 million fans attended, a World Cup record.
In the final, which Argentina player was sent off for a second yellow card?	Enzo Fernandez	Lionel Messi	Rodrigo De Paul	Lisandro Martinez	Enzo Fernandez was sent off after picking up a second yellow.
After winning in 2026, Spain became the first nation to simultaneously hold which two titles?	Men's and Women's World Cups	Men's World Cup and European Championship	World Cup and Copa America	World Cup and Nations League	Spain held both the men's and women's World Cup titles at the same time.
How many goals were scored in the group stage alone (a tournament record)?	215	178	195	232	The expanded group stage produced a record 215 goals.
Which stadium hosted the most matches (9)?	AT&T Stadium, Arlington	MetLife Stadium	SoFi Stadium	Estadio Azteca	AT&T Stadium in Arlington hosted nine matches, the most of any venue.
Who was named Player of the Match in the final?	Ferran Torres	Rodri	Unai Simon	Lamine Yamal	Match-winner Ferran Torres was named Player of the Match.
Mbappe's 10 goals made him the first player in history to do what?	Win the World Cup Golden Boot more than once	Score in three consecutive World Cup finals	Score a hat-trick in a final and win the Golden Boot	Finish as top scorer while his team won the tournament	Mbappe became the first player to win the World Cup Golden Boot more than once.
Which of these was a notable knockout-stage upset?	Paraguay eliminating Germany on penalties in the Round of 32	Canada beating Brazil	USA reaching the semi-finals	Mexico winning the tournament	Paraguay knocked out Germany on penalties in the Round of 32.
Who was the Spain manager who led them to the 2026 title?	Luis de la Fuente	Luis Enrique	Pep Guardiola	Julen Lopetegui	Luis de la Fuente managed Spain to the title.
