question	correct	wrong1	wrong2	wrong3	explanation
A car travels 60 km in 2 hours. Its average speed is	30 km/h	60 km/h	120 km/h	15 km/h	Average speed = total distance ÷ total time = 60 ÷ 2 = 30 km/h.
Which one of the following is a vector quantity?	velocity	speed	mass	time	A vector has both magnitude and direction; velocity does, but speed, mass, and time do not.
The SI unit of force is the	newton	joule	pascal	watt	One newton is the force that gives a 1 kg mass an acceleration of 1 m/s².
Newton's first law is also called the law of	inertia	momentum	gravitation	conservation	The first law states that an object stays at rest or in uniform motion unless a net force acts on it.
The acceleration due to gravity on Earth's surface is approximately	9.8 m/s²	1.6 m/s²	98 m/s²	5 m/s²	The standard value of g on Earth is 9.8 m/s² (roughly 10 m/s² for quick estimates).
Friction acts in a direction that is	opposite to motion	same as motion	perpendicular to motion	always vertical	Friction opposes the relative motion between two surfaces in contact.
A 10 N force acts on a 2 kg mass. Its acceleration is	5 m/s²	20 m/s²	0.2 m/s²	12 m/s²	From F = ma, a = F / m = 10 N ÷ 2 kg = 5 m/s².
Mass is best described as	the amount of matter in an object	the gravitational pull on an object	the size of an object	the speed of an object	Mass measures how much matter an object contains and is independent of location.
The weight of an object is the result of	gravity acting on its mass	air resistance	friction	its mass alone	Weight = mass × gravitational acceleration; it changes when gravity changes.
Which one of the following is NOT a unit of force?	kilogram	newton	dyne	pound-force	Kilogram measures mass, not force; newton, dyne, and pound-force are all force units.
The slope of a velocity-time graph represents	acceleration	displacement	speed	distance	The rate of change of velocity with time is by definition acceleration.
An object in free fall close to Earth has constant	acceleration	velocity	momentum	displacement	Only gravity acts during free fall, so the acceleration stays constant at about 9.8 m/s².
