question	correct	wrong1	wrong2	wrong3	explanation	time
Who is Ethiopia's current Prime Minister?	Abiy Ahmed	Taye Atske Selassie	Tagesse Chafo	Temesgen Tiruneh	Abiy Ahmed has been Prime Minister since April 2018, and his Prosperity Party won the general election of June 2026. The Prime Minister is the head of government.	20
Who is Ethiopia's current President?	Taye Atske Selassie	Sahle-Work Zewde	Abiy Ahmed	Hailemariam Desalegn	Taye Atske Selassie took office on 7 October 2024, succeeding Sahle-Work Zewde. The President is the head of state and the role is largely ceremonial.	20
In which year did Abiy Ahmed first become Prime Minister?	2018	1995	2021	2024	He was sworn in on 2 April 2018, after Hailemariam Desalegn resigned.	20
Ethiopia held its seventh general election in which year?	2026	2018	2021	2024	Voting took place on 1 June 2026, and the National Election Board announced the conclusion of the poll the following day. The sixth general election was held in 2021.	20
Which institution manages national elections in Ethiopia?	National Election Board of Ethiopia	Ministry of Justice	Federal Supreme Court	Council of Ministers	The National Election Board of Ethiopia, or NEBE, registers parties and candidates, runs voter registration, and announces the results.	20
What is the minimum voting age in Ethiopia?	18	16	17	21	Article 38 of the Constitution gives every Ethiopian the right to vote on attaining 18 years of age.	20
What is Ethiopia's full constitutional name?	Federal Democratic Republic of Ethiopia	United Republic of Ethiopia	Kingdom of Ethiopia	People's Republic of Ethiopia	Article 1 of the Constitution names the state the Federal Democratic Republic of Ethiopia, often shortened to FDRE.	20
What form of government does Ethiopia's Constitution establish?	Parliamentary system	Absolute monarchy	Military government	Presidential system	Article 45 states that the FDRE shall have a parliamentarian form of government, so the executive is drawn from parliament and answers to it.	20
Who is the head of government in Ethiopia?	Prime Minister	Speaker of Parliament	President	Chief Justice	The Prime Minister leads the Council of Ministers and holds the real executive power.	20
Who is Ethiopia's head of state?	President	Prime Minister	Speaker of the House	Chairperson of NEBE	The President serves as ceremonial head of state, while day to day executive power sits with the Prime Minister.	20
What are the two houses of Ethiopia's federal parliament?	House of Peoples' Representatives and House of Federation	House of Representatives and Federal Supreme Court	House of Federation and Council of Ministers	State Councils and National Election Board	The House of Peoples' Representatives is the elected lawmaking chamber. The House of Federation represents the Nations, Nationalities and Peoples.	20
How long is the normal term of the House of Peoples' Representatives?	Five years	Two years	Three years	Four years	Article 58 sets a five year term for the House, which is why general elections come around every five years.	20
How long is one term of office for Ethiopia's President?	Six years	Four years	Seven years	Ten years	Article 70 sets a six year presidential term, and no person may be elected President for more than two terms.	20
Who approves the nominee for President?	A joint session of the two federal houses	The House of Peoples' Representatives alone	The Federal Supreme Court	The National Election Board	The House of Peoples' Representatives nominates the candidate, and a joint session of both federal houses must then approve the nominee by a two thirds majority.	20
Which court has the highest federal judicial authority?	Federal Supreme Court	State High Court	Federal First-Instance Court	Council of Constitutional Inquiry	Article 80 gives the Federal Supreme Court the highest and final judicial power over federal matters.	20
According to the Constitution, the House of Peoples' Representatives cannot exceed how many members?	550	350	400	500	Article 54 caps the House at 550 members, with at least 20 seats reserved for minority Nationalities and Peoples.	20
According to the Constitution, where does Ethiopia's sovereign power reside?	In the Nations, Nationalities and Peoples of Ethiopia	In the Council of Ministers	In the Federal Supreme Court	In the armed forces	Article 8 states that all sovereign power resides in the Nations, Nationalities and Peoples of Ethiopia, and that the Constitution expresses their sovereignty.	20
What recognition does the Constitution give to Ethiopian languages?	All Ethiopian languages have equal state recognition	Only Amharic is recognized	Only regional languages are recognized	Only five languages are recognized	Article 5 gives all Ethiopian languages equal state recognition, while Amharic serves as the working language of the federal government.	20
In an election for the House of Peoples' Representatives, which candidate wins a district?	The candidate with the highest number of votes	The oldest candidate	The candidate selected by the President	The candidate with the most party members	Ethiopia uses a first past the post system, so the candidate with the most votes in the constituency takes the seat.	20
Who became Ethiopia's first woman President in 2018?	Sahle-Work Zewde	Meaza Ashenafi	Muferiat Kamil	Taytu Betul	Sahle-Work Zewde, a career diplomat, became Ethiopia's first woman President in October 2018 and served until October 2024.	20
Who served as Prime Minister immediately before Abiy Ahmed?	Hailemariam Desalegn	Meles Zenawi	Sahle-Work Zewde	Taye Atske Selassie	Hailemariam Desalegn led the government from 2012 to 2018, then resigned, opening the way for Abiy Ahmed.	20
Who served as Prime Minister from 1995 until 2012?	Meles Zenawi	Mengistu Haile Mariam	Hailemariam Desalegn	Abiy Ahmed	Meles Zenawi became Prime Minister in 1995 under the new Constitution and served until his death in 2012.	20
In which year did Abiy Ahmed receive the Nobel Peace Prize?	2019	2016	2021	2024	Abiy Ahmed was awarded the Nobel Peace Prize in 2019, a year after taking office.	20
Abiy Ahmed's 2019 Nobel Peace Prize especially recognized his peace initiative with which neighbouring country?	Eritrea	Kenya	Sudan	Somalia	The Nobel Committee singled out his work to end the long running border conflict with Eritrea.	20
Who was Emperor of Ethiopia during the Battle of Adwa in 1896?	Menelik II	Haile Selassie	Yohannes IV	Tewodros II	Emperor Menelik II led Ethiopia to victory over the invading Italian army at Adwa on 1 March 1896.	20
Which Ethiopian empress is famous for her leadership during the Battle of Adwa?	Taytu Betul	Zewditu	Menen Asfaw	Sahle-Work Zewde	Empress Taytu Betul took an active command role in the Adwa campaign and is widely honoured for her leadership there.	20
In which city was the Organization of African Unity founded in 1963?	Addis Ababa	Nairobi	Cairo	Accra	The Organization of African Unity was founded in Addis Ababa on 25 May 1963, and its successor the African Union is still headquartered in the city.	20
Who was Ethiopia's last reigning emperor?	Haile Selassie	Menelik II	Tewodros II	Yohannes IV	Haile Selassie reigned from 1930 until the Derg deposed him in 1974, ending centuries of monarchy.	20
Which military group removed Emperor Haile Selassie from power in 1974?	Derg	EPRDF	NEBE	African Union	The Derg, a committee of soldiers, deposed the Emperor in 1974. The EPRDF is the later coalition that removed the Derg in 1991.	20
Who became the dominant leader of the Derg government?	Mengistu Haile Mariam	Meles Zenawi	Aman Andom	Hailemariam Desalegn	Mengistu Haile Mariam emerged as the dominant figure inside the Derg and ruled until he fled the country in 1991.	20
