question	correct	wrong1	wrong2	wrong3	explanation	time
The famous early human fossil found in Ethiopia's Afar region is known worldwide as Lucy. What is her local Amharic name?	Dinkinesh	Selam	Ardi	Idaltu	Lucy was found at Hadar in the Afar region in 1974. In Amharic she is called Dinkinesh, meaning you are marvelous.	25
The Lucy (Dinkinesh) fossil belongs to which early human species?	Australopithecus afarensis	Ardipithecus ramidus	Homo habilis	Homo erectus	Lucy is an Australopithecus afarensis, one of the early upright-walking ancestors of human beings.	30
Which early human species was the first to leave Africa and learned to use fire?	Homo erectus	Homo habilis	Australopithecus afarensis	Homo sapiens	Homo erectus spread out of Africa and used fire to keep warm, an important step in human development.	25
Which Aksumite king made Christianity the official religion of the kingdom in the 4th century?	King Ezana	King Kaleb	King Lalibela	Yekuno Amlak	King Ezana adopted Christianity around 330 AD, making Aksum one of the earliest Christian states in the world.	20
Who introduced Christianity to the Aksumite court and converted King Ezana?	Frumentius	The Nine Saints	Abune Baselios	King Kaleb	Frumentius, later honored as Abba Selama, taught the young Ezana and became the first bishop of Aksum.	25
What was the main Red Sea port of the Aksumite Kingdom?	Adulis	Massawa	Zeila	Dahlak	Adulis linked Aksum to trade with Rome, Egypt, India, and Arabia. Its destruction in 702 AD weakened the kingdom.	20
Aksum was one of the first African states to mint its own coins. Which three metals did it use?	Bronze, silver and gold	Iron, tin and copper	Gold, ivory and salt	Silver, lead and bronze	Aksumite coins were struck in bronze, silver, and gold, a clear sign of the kingdom's wealth and strong government.	25
In 615 AD, early followers of Prophet Muhammad found safe refuge in which kingdom?	The Kingdom of Aksum	The Sultanate of Ifat	The Adal Sultanate	The Zagwe kingdom	The Aksumite king welcomed the Prophet's followers, an event remembered in Islamic history as the First Hijra.	20
How many rock-hewn churches were carved at Roha, the town later renamed Lalibela?	Eleven	Nine	Seven	Thirteen	Eleven churches were cut from solid rock during the reign of the Zagwe king Lalibela in the 12th and 13th centuries.	15
Who defeated the last Zagwe king in 1270 and restored the Solomonic line of emperors?	Yekuno Amlak	Amde Seyon	Mera Tekle Haymanot	Susenyos	Yekuno Amlak, a ruler from Amhara, claimed descent from the old Aksumite kings and founded the Solomonic dynasty.	25
Which Christian king defeated the Muslim Sultanate of Ifat in 1332?	Amde Seyon	Yekuno Amlak	Gelawdewos	Lebne Dengel	Amde Seyon expanded the Christian kingdom and took control of the trade routes leading to the port of Zeila.	25
