question	correct	wrong1	wrong2	wrong3	explanation
The Aksumite Kingdom was famous mainly for	long-distance trade and minting its own coins	building pyramids	conquering Europe	inventing gunpowder	Aksum minted gold, silver, and copper coins and traded across the Red Sea with Rome, India, and Arabia.
King Ezana of Aksum is best known for	adopting Christianity as the state religion	defeating the Persians	building the Lalibela churches	founding Addis Ababa	King Ezana made Christianity the official religion of the Aksumite Kingdom in the 4th century AD.
The rock-hewn churches of Lalibela were carved during the	Zagwe dynasty	Aksumite Kingdom	Solomonic dynasty	Italian occupation	The eleven monolithic churches were built under King Lalibela of the Zagwe dynasty around the 12th-13th century.
Christianity was first introduced to Ethiopia in the	4th century AD	1st century AD	10th century AD	15th century AD	Christianity reached the Aksumite court through Frumentius in the 4th century AD.
The Solomonic dynasty traced its lineage to	King Solomon and the Queen of Sheba	the Pharaohs of Egypt	the Roman emperors	the prophet Muhammad	Solomonic tradition holds that the dynasty descended from the union of King Solomon and Queen Makeda of Sheba.
The Battle of Adwa took place in	1896	1936	1855	1974	Ethiopian forces under Emperor Menelik II defeated the invading Italian army on 1 March 1896.
At the Battle of Adwa, Ethiopia defeated which European power?	Italy	Britain	France	Portugal	Adwa marked a decisive Ethiopian victory over Italian colonial forces.
Emperor Menelik II is best remembered for	defeating Italy at Adwa and expanding the empire	abolishing the monarchy	founding the Aksumite Kingdom	introducing Christianity	Menelik unified large parts of present-day Ethiopia and led the army to victory at Adwa.
Modern Ethiopia's current capital, founded in 1886, is	Addis Ababa	Gondar	Aksum	Lalibela	Empress Taytu chose the site of Addis Ababa ("new flower") for Menelik II's new capital.
Which one of the following is NOT an Ethiopian dynasty?	Mamluk	Aksumite	Zagwe	Solomonic	The Mamluks ruled Egypt and Syria; Aksumite, Zagwe, and Solomonic are Ethiopian dynasties.
The second Italian invasion of Ethiopia under Mussolini began in	1935	1896	1941	1960	Fascist Italy invaded Ethiopia in October 1935, beginning a five-year occupation.
The Ethiopian flag has three horizontal stripes coloured	green, yellow, and red	red, white, and blue	black, yellow, and green	red, green, and white	Ethiopia's tricolour of green, yellow, and red has been a symbol of African independence for many other nations.
