question	correct	wrong1	wrong2	wrong3	explanation
Solve for x: 3x + 7 = 22	x = 5	x = 7	x = 15	x = 22/3	Subtract 7 from both sides to get 3x = 15, then divide by 3.
Simplify: 2(x + 5) − 3x	−x + 10	5x + 10	−x − 10	2x + 5	Distribute the 2 to get 2x + 10, then combine like terms with −3x.
The slope of the line y = 2x + 3 is	2	3	1/2	−2	In y = mx + b form the slope is the coefficient m of x.
2³ × 2⁴ equals	2⁷	2¹²	4⁷	8⁷	When multiplying powers with the same base, add the exponents: 3 + 4 = 7.
If A = {1, 2, 3} and B = {3, 4, 5}, then A ∩ B is	{3}	{1, 2, 3, 4, 5}	{1, 2}	{4, 5}	The intersection of two sets contains only the elements they both share.
Factor: x² + 5x + 6	(x + 2)(x + 3)	(x + 1)(x + 6)	(x − 2)(x − 3)	(x + 5)(x + 6)	Find two numbers that multiply to 6 and add to 5 — those are 2 and 3.
If 2x − 5 = 11, then x equals	8	3	13	16	Add 5 to both sides to get 2x = 16, then divide by 2.
Which one of the following is irrational?	√2	0.25	−5	3/4	An irrational number cannot be written as a ratio of two integers, and √2 has a non-repeating decimal.
The slope of the line through (1, 2) and (3, 8) is	3	2	1/3	−3	Slope = (y₂ − y₁) / (x₂ − x₁) = (8 − 2) / (3 − 1) = 6/2 = 3.
5⁰ equals	1	0	5	−5	Any non-zero number raised to the power zero equals 1.
Solve: x / 4 = 7	28	11	1.75	3	Multiply both sides by 4 to isolate x.
Which one of the following is NOT a real number?	√−4	−2.5	0	π	The square root of a negative number is not a real number; it is imaginary.
