question	correct	wrong1	wrong2	wrong3	explanation
The centre of an atom is called the	nucleus	electron cloud	orbital	shell	The nucleus holds the protons and neutrons at the centre of every atom.
Which subatomic particle has no electric charge?	neutron	proton	electron	positron	Protons are positive and electrons are negative, while neutrons are electrically neutral.
An atom with 6 protons and 6 neutrons has a mass number of	12	6	18	0	Mass number = protons + neutrons = 6 + 6 = 12.
The maximum number of electrons in the first energy shell is	2	8	18	32	The first shell (n = 1) can hold at most 2 electrons.
Isotopes of an element have the same number of	protons	neutrons	electrons and neutrons	atomic mass	Isotopes share the same proton count but differ in their neutron count.
An atom that has gained extra electrons becomes a	negative ion	positive ion	neutral atom	radical	Gaining negatively-charged electrons gives the atom a net negative charge.
Group 1 elements are also known as	alkali metals	alkaline earth metals	halogens	noble gases	Group 1 elements like Li, Na, K are highly reactive metals called alkali metals.
Which one of the following is NOT a noble gas?	chlorine	helium	neon	argon	Chlorine is a halogen in Group 17; helium, neon, and argon are all in Group 18.
The chemical symbol for sodium is	Na	So	S	Sd	Sodium's symbol Na comes from its Latin name natrium.
Across a period, electronegativity generally	increases from left to right	decreases from left to right	stays the same	is highest at the metals	Electrons are pulled more strongly by the increasing nuclear charge across a period.
The atomic number of an element equals the number of	protons	neutrons	protons plus neutrons	electron shells	The atomic number identifies an element by counting its protons.
Period 2 of the periodic table contains how many elements?	8	2	10	18	Period 2 runs from lithium to neon and has 8 elements.
