question	correct	wrong1	wrong2	wrong3	explanation	time
Which city was historically known as Nazret?	Adama	Bishoftu	Ambo	Asella	Adama, in the Oromia Region, was long called Nazret (or Nazareth). Today most people use its Oromo name, Adama.	25
Which of these cities is NOT in the Oromia Region?	Debre Birhan	Nekemte	Jimma	Shashemene	Nekemte, Jimma and Shashemene are all in Oromia. Debre Birhan sits in the Amhara Region, in North Shewa.	25
Mizan Aman is located in which Ethiopian regional state?	South West Ethiopia Peoples' Regional State	South Ethiopia Regional State	Central Ethiopia Regional State	Gambella Region	Mizan Aman is in Bench Sheko Zone, part of the South West Ethiopia Peoples' Region formed in 2021.	25
Which pair of cities are both in Central Ethiopia Regional State?	Hossana and Wolkite	Wolkite and Jimma	Dilla and Hossana	Bonga and Wolkite	Central Ethiopia keeps its executive seat at Hossana (Hadiya Zone) and its council seat at Wolkite (Gurage Zone).	25
Which pair of cities are both in South Ethiopia Regional State?	Arba Minch and Dilla	Bonga and Jinka	Hossana and Dilla	Hawassa and Arba Minch	Arba Minch (Gamo Zone) and Dilla (Gedeo Zone) both belong to the South Ethiopia Regional State created in 2023.	25
Which regional state contains Kaffa Zone?	South West Ethiopia Peoples' Regional State	Gambella Region	South Ethiopia Regional State	Central Ethiopia Regional State	Kaffa Zone, whose capital is Bonga, is one of the founding zones of the South West Ethiopia Peoples' Region.	25
Jinka is located in which current regional state?	South Ethiopia Regional State	South West Ethiopia Peoples' Regional State	Sidama Region	Central Ethiopia Regional State	Jinka is the main town of South Omo Zone, which joined the new South Ethiopia Regional State in 2023.	25
Which city is the administrative seat of Gedeo Zone?	Dilla	Yirgalem	Hawassa	Shashemene	Dilla is the seat of Gedeo Zone, famous for its coffee. Hawassa and Yirgalem are in Sidama; Shashemene is in Oromia.	25
Which city is the administrative seat of Gamo Zone?	Arba Minch	Sawla	Jinka	Wolaita Sodo	Arba Minch is the seat of Gamo Zone. Sawla leads Gofa, Jinka leads South Omo, and Wolaita Sodo leads Wolayita.	25
Sawla is the administrative seat of which zone?	Gofa Zone	Gamo Zone	Wolaita Zone	Gedeo Zone	Sawla is the seat of Gofa Zone in the South Ethiopia Regional State.	25
Which of these cities belongs to the Tigray Region?	Adigrat	Woldiya	Debre Tabor	Kombolcha	Adigrat is in eastern Tigray. Woldiya, Debre Tabor and Kombolcha are all in the Amhara Region.	25
Which of these cities is in Benishangul-Gumuz Region?	Assosa	Metu	Gambella	Bonga	Assosa is the capital of Benishangul-Gumuz, near the Sudan border. Gambella and Bonga sit in other regions.	25
Which of these cities is located in the Somali Region?	Gode	Chiro	Robe	Metu	Gode lies on the Shebelle River in the Somali Region. Chiro, Robe and Metu are all in the Oromia Region.	25
Which city belongs to the Afar Region?	Semera	Gode	Harar	Jigjiga	Semera is the capital of the Afar Region. Gode and Jigjiga are in the Somali Region, and Harar is its own Harari Region.	25
Which city-region combination is correctly matched?	Asella is in the Oromia Region	Nekemte is in the Amhara Region	Dessie is in the Tigray Region	Dilla is in the Sidama Region	Asella is in the Arsi Zone of Oromia. Nekemte is in Oromia (not Amhara), Dessie is in Amhara (not Tigray), and Dilla is in South Ethiopia (not Sidama).	25
Which of these cities is farthest west?	Assosa	Mekelle	Adama	Dessie	Assosa lies in the far west near the Sudan border, so it is the most westerly of these towns.	25
Which Ethiopian regional state borders both Eritrea and Djibouti?	Afar Region	Tigray Region	Somali Region	Amhara Region	The Afar Region reaches Eritrea in the north and Djibouti in the east. Tigray touches only Eritrea; Somali touches only Djibouti.	25
Which Ethiopian regional state borders both Djibouti and Somalia?	Somali Region	Afar Region	Oromia Region	Harari Region	The Somali Region meets Djibouti in its north and Somalia along its long eastern side. Afar borders Djibouti but not Somalia.	25
Which region geographically surrounds Addis Ababa?	Oromia Region	Amhara Region	Central Ethiopia Regional State	Sidama Region	Addis Ababa is a chartered city sitting entirely inside the Oromia Region, which wraps around it on all sides.	25
Which of these cities is closest to Lake Tana?	Bahir Dar	Gondar	Debre Markos	Dessie	Bahir Dar sits right on the southern shore of Lake Tana, the source of the Blue Nile.	25
South West Ethiopia Peoples' Regional State was officially established in which year?	2021	2019	2020	2023	After a referendum on 30 September 2021, the region was officially formed on 23 November 2021 as Ethiopia's 11th state.	25
Which city hosted the official formation ceremony of South West Ethiopia Peoples' Regional State in 2021?	Bonga	Mizan Aman	Tepi	Jimma	The new region's formation ceremony was held in Bonga, in Kaffa Zone, which became its capital.	25
Which of these was NOT one of the areas that formed South West Ethiopia Peoples' Regional State?	Gedeo	Kaffa	Sheka	Dawuro	The region was built from Kaffa, Sheka, Bench Sheko, Dawro and West Omo (plus Konta). Gedeo instead joined South Ethiopia.	25
Wolaita Sodo is the political and administrative center of which current regional state?	South Ethiopia Regional State	Central Ethiopia Regional State	Sidama Region	South West Ethiopia Peoples' Regional State	Wolaita Sodo serves as the capital of the South Ethiopia Regional State formed in 2023.	25
Which city-region combination is incorrect?	Dilla is in the Sidama Region	Bonga is in the South West Ethiopia Peoples' Regional State	Jinka is in the South Ethiopia Regional State	Hossana is in the Central Ethiopia Regional State	Dilla is in the Gedeo Zone of the South Ethiopia Region, not Sidama. The other three matches are correct.	25
Which group contains only cities in the Oromia Region?	Jimma, Nekemte, Asella	Jimma, Dessie, Asella	Nekemte, Debre Birhan, Ambo	Adama, Hossana, Jimma	Jimma, Nekemte and Asella are all Oromia towns. The other groups slip in Dessie or Debre Birhan (Amhara) or Hossana (Central Ethiopia).	25
Which group contains only cities in the Amhara Region?	Bahir Dar, Gondar, Dessie	Bahir Dar, Adigrat, Gondar	Dessie, Debre Birhan, Adama	Gondar, Woldiya, Mekelle	Bahir Dar, Gondar and Dessie are all in Amhara. The other groups add Adigrat or Mekelle (Tigray) or Adama (Oromia).	25
A student travels from Bonga to Mizan Aman to Tepi without leaving one regional state. Which regional state are they travelling through?	South West Ethiopia Peoples' Regional State	South Ethiopia Regional State	Oromia Region	Gambella Region	Bonga (Kaffa), Mizan Aman (Bench Sheko) and Tepi (Sheka) all lie inside the South West Ethiopia Peoples' Region.	25
A traveller goes from Dilla to Arba Minch to Jinka. Which current regional state contains all three cities?	South Ethiopia Regional State	Sidama Region	Central Ethiopia Regional State	South West Ethiopia Peoples' Regional State	Dilla (Gedeo), Arba Minch (Gamo) and Jinka (South Omo) are all zones of the South Ethiopia Regional State.	25
Which sequence correctly matches Hossana, Bonga, Dilla and Hawassa with their current regions, in that order?	Central Ethiopia > South West Ethiopia > South Ethiopia > Sidama	South Ethiopia > South West Ethiopia > Sidama > Central Ethiopia	Central Ethiopia > South Ethiopia > South West Ethiopia > Sidama	Sidama > South West Ethiopia > South Ethiopia > Central Ethiopia	Hossana is in Central Ethiopia, Bonga in South West Ethiopia, Dilla in South Ethiopia, and Hawassa in Sidama.	25
