question	correct	wrong1	wrong2	wrong3	explanation
Which sentence uses the past tense correctly?	She walked to school yesterday.	She walks to school yesterday.	She is walking to school yesterday.	She walk to school yesterday.	The simple past form "walked" matches the time marker "yesterday".
The team _____ playing very well this season.	is	are	were	be	With a collective noun acting as one unit, the singular "is" is the correct verb in standard usage.
A word that describes or modifies a noun is a/an	adjective	adverb	preposition	conjunction	Adjectives modify nouns; adverbs modify verbs, adjectives, or other adverbs.
Choose the correct preposition: "He arrived ___ Monday."	on	in	at	by	We use "on" with specific days and dates.
The subject of the sentence "Reading books improves vocabulary" is	Reading books	books	vocabulary	improves	The gerund phrase "Reading books" acts as the subject performing the verb "improves".
Which one of the following is NOT a conjunction?	quickly	and	but	because	"Quickly" is an adverb; "and", "but", and "because" all join clauses.
"She runs faster than I do." In this sentence, "than" is a	conjunction	preposition	adverb	pronoun	"Than" connects the two clauses being compared, functioning as a conjunction.
The plural of "child" is	children	childs	childes	child's	"Child" is an irregular noun whose plural is "children".
The past tense of the verb "go" is	went	goed	gone	going	"Go" is irregular; its simple past is "went" and its past participle is "gone".
Which sentence is in the passive voice?	The cake was eaten by Sara.	Sara ate the cake.	Sara is eating the cake.	Sara will eat the cake.	In passive voice the subject receives the action, formed with "to be" plus the past participle.
The article that introduces a specific noun the listener already knows is	the	a	an	some	"The" is the definite article; "a" and "an" are indefinite articles.
The opposite (antonym) of "expand" is	contract	enlarge	stretch	grow	"Contract" means to make smaller; the others all mean to make larger.
