question	correct	wrong1	wrong2	wrong3	explanation
Ethiopia is located on which continent?	Africa	Asia	Europe	South America	Ethiopia sits in the Horn of Africa in the eastern part of the continent.
The largest continent by total area is	Asia	Africa	North America	Antarctica	Asia covers roughly 30 percent of the world's land area, more than any other continent.
The Equator passes through each of the following EXCEPT	Ethiopia	Kenya	Indonesia	Ecuador	Ethiopia lies north of the Equator; Kenya, Indonesia, and Ecuador are all crossed by it.
Lines that run north to south on a map are called	lines of longitude	lines of latitude	parallels	tropics	Longitude lines run pole to pole and measure east-west position from the Prime Meridian.
The Prime Meridian passes through	Greenwich, England	Paris, France	Rome, Italy	Cairo, Egypt	By international agreement the 0° meridian passes through the Royal Observatory at Greenwich.
Ethiopia shares its longest international border with	Somalia	Sudan	Kenya	Eritrea	The eastern boundary with Somalia is the longest of Ethiopia's land borders.
The East African Rift Valley extends from	Northern Ethiopia to Mozambique	Egypt to South Africa	Algeria to Tanzania	Morocco to Kenya	The Great Rift Valley runs roughly north-south from the Afar in Ethiopia down into Mozambique.
A map's scale is best described as	the ratio of map distance to ground distance	the orientation of the map	the legend of the map	the colour of the map	Scale tells the reader how many ground units one map unit represents.
Which one of the following is NOT a layer of Earth's atmosphere?	hydrosphere	troposphere	stratosphere	mesosphere	Hydrosphere refers to Earth's water, not its atmosphere.
The largest ocean in the world is the	Pacific Ocean	Atlantic Ocean	Indian Ocean	Arctic Ocean	The Pacific covers about a third of Earth's surface, more than any other ocean.
The Sahara Desert is located in	northern Africa	southern Africa	central Asia	South America	The Sahara stretches across northern Africa from the Atlantic to the Red Sea.
A topographic map mainly shows	relief and elevation	political boundaries	average rainfall	population density	Topographic maps use contour lines to show shape and height of the land.
