question	correct	wrong1	wrong2	wrong3	explanation	time
Which Ethiopian musician is called the "father of Ethio-jazz"? He also guided Duke Ellington during his 1973 visit to Ethiopia.	Mulatu Astatke	Tilahun Gessesse	Mahmoud Ahmed	Alemayehu Eshete	Mulatu Astatke studied in London and Boston, then mixed Ethiopian scales with jazz and Latin rhythms to create Ethio-jazz. He also played with Duke Ellington when Ellington's orchestra toured Ethiopia in 1973.	10
Which famous Ethiopian singer came from Welisso and joined the National Theatre when he was young?	Tilahun Gessesse	Mulatu Astatke	Teddy Afro	Mahmoud Ahmed	Tilahun Gessesse was born in Welisso and became the best loved singer of Ethiopia's golden age. He sang with the Imperial Bodyguard Band and later the National Theatre.	10
Which Ethiopian artist designed the famous coloured-glass artwork in Africa Hall?	Afewerk Tekle	Gebre Kristos Desta	Skunder Boghossian	Zerihun Yetmgeta	Afewerk Tekle designed the stained-glass window called The Total Liberation of Africa for Africa Hall in Addis Ababa. He is one of Ethiopia's most famous artists.	10
Which Ethiopian artist created Blue Composition and signed his name in Ethiopic (fidel) script?	Skunder Boghossian	Gebre Kristos Desta	Afewerk Tekle	Julie Mehretu	Alexander "Skunder" Boghossian painted Blue Composition in about 1966 to 1968, after he returned from Paris. The painting is now in the Museum of Modern Art in New York.	10
What does "Addis Ababa" mean in Amharic?	New Flower	High Mountain	City of Peace	African Capital	Addis Ababa means New Flower. Empress Taytu Betul chose the name when the new capital was founded in 1886.	10
Which city became Emperor Fasilides' permanent capital in 1636?	Gondar	Aksum	Lalibela	Harar	Emperor Fasilides made Gondar his capital in 1636. Gondar stayed the centre of power for more than two hundred years, and its castles are now a World Heritage site.	10
How many historic gates did Harar Jugol have?	Five	Four	Seven	Twelve	The wall of Harar Jugol had five historic gates. A sixth gate, called Harar Gate, was added much later in the nineteenth century.	10
Which building hosted the meeting where African leaders adopted the charter of the Organization of African Unity?	Africa Hall	National Museum of Ethiopia	Unity Park	Holy Trinity Cathedral	African leaders adopted the OAU charter in Africa Hall in Addis Ababa in 1963. The African Union still has its headquarters in the city.	10
In Amharic, what does "Fidel" usually mean?	A script or alphabet	A festival	A government system	A style of singing	Fidel means the script or alphabet. Ethiopian children learn the fidel as their first step in reading.	10
The Ethiopic writing system was first developed for which language?	Ge'ez	Amharic	Afaan Oromo	Tigrinya	The Ethiopic script was created for Ge'ez, the ancient language of Aksum. Amharic, Tigrinya and other languages later used the same script.	10
