question	correct	wrong1	wrong2	wrong3	explanation
The basic unit of life is the	cell	tissue	organ	molecule	All living organisms are made of one or more cells, the smallest unit that can perform life functions.
Which one of the following is found ONLY in plant cells?	cell wall	nucleus	cell membrane	mitochondria	Plant cells have a rigid cellulose cell wall outside the membrane; animal cells do not.
The control centre of a eukaryotic cell is the	nucleus	ribosome	mitochondrion	vacuole	The nucleus stores DNA and controls cell activities.
All living things share each of the following EXCEPT	having a brain	cells	reproduction	respiration	A brain is found only in animals, but all living things share cells, respiration, and reproduction.
Photosynthesis takes place mainly in the	chloroplasts	mitochondria	nucleus	ribosomes	Chloroplasts contain chlorophyll, which captures light energy used to make glucose.
Cellular respiration takes place mainly in the	mitochondria	chloroplasts	nucleus	cell wall	Mitochondria break down glucose with oxygen to release energy as ATP.
The five-kingdom classification system was proposed by	Robert Whittaker	Carolus Linnaeus	Charles Darwin	Gregor Mendel	Whittaker proposed the five-kingdom system in 1969 based on cell type and nutrition.
Which one of the following is a unicellular organism?	Amoeba	frog	maize plant	human	Amoeba consists of a single cell, while frogs, maize, and humans are multicellular.
DNA is found mainly in the	nucleus	cytoplasm	ribosome	cell wall	In eukaryotic cells the bulk of the DNA is packaged into chromosomes inside the nucleus.
Which one of the following is NOT a characteristic of living things?	melting	growth	reproduction	respiration	Melting is a physical change; living things grow, reproduce, and respire.
The process by which cells release energy from food is called	respiration	digestion	photosynthesis	transpiration	Respiration breaks down food molecules to release usable energy in cells.
Bacteria belong to which kingdom?	Monera	Protista	Fungi	Animalia	Monera contains prokaryotic single-celled organisms including all bacteria.
