question	correct	wrong1	wrong2	wrong3	explanation	time
Porto-Novo is Benin's official capital. Which city is its main seat of government?	Cotonou	Abomey	Parakou	Ouidah	Porto-Novo is the constitutional capital, but Cotonou is Benin's largest city and the true seat of government, where the president's office and most ministries sit.	10
Which city became Cote d'Ivoire's official capital in 1983?	Yamoussoukro	Abidjan	Grand-Bassam	Bouake	In 1983 the capital was moved to Yamoussoukro, the home town of President Felix Houphouet-Boigny. Abidjan stays the largest city and the economic centre.	10
Before Niamey, which city served as Niger's colonial capital?	Zinder	Agadez	Maradi	Dosso	Zinder was the capital of the colony of Niger until 1926, when the French moved the capital west to Niamey on the Niger River.	10
Which island town was the capital of Portuguese Guinea before Bissau?	Bolama	Cacheu	Bafata	Gabu	Bolama, on an island near the Bijagos, was the capital of Portuguese Guinea until 1941, when the capital moved to Bissau on the mainland.	10
Which West African capital was once called Bathurst?	Banjul	Freetown	Monrovia	Accra	The Gambian capital was named Bathurst under British rule. It was renamed Banjul in 1973, eight years after independence.	10
Praia, the capital of Cabo Verde, is on which island?	Santiago	Sal	Sao Vicente	Boa Vista	Praia sits on the south coast of Santiago, the largest island of Cabo Verde and home to most of the country's people.	10
Which Cabo Verdean city is on the island of Sao Vicente?	Mindelo	Assomada	Santa Maria	Sal Rei	Mindelo, on Sao Vicente, is Cabo Verde's second city and main port, known for its harbour at Porto Grande and its music scene.	10
Which national capital directly borders the Ghanaian town of Aflao?	Lome	Cotonou	Porto-Novo	Accra	Lome, the capital of Togo, sits right on the border with Ghana. The Ghanaian town of Aflao lies just across the frontier from it.	10
Which pair of national capitals stands on the Niger River?	Bamako and Niamey	Niamey and Abuja	Bamako and Ouagadougou	Abuja and Ouagadougou	Both Bamako in Mali and Niamey in Niger sit on the banks of the Niger River. Abuja and Ouagadougou are inland and not on the river.	10
Bissau stands beside the estuary of which river?	Geba	Senegal	Gambia	Casamance	Bissau, capital of Guinea-Bissau, lies on the estuary of the Geba River, which opens into the Atlantic Ocean.	10
Which former capital has a historic island centre near the mouth of the Senegal River?	Saint-Louis	Rufisque	Ziguinchor	Thies	Saint-Louis was the capital of Senegal and of French West Africa. Its old town sits on an island near the mouth of the Senegal River and is a World Heritage site.	10
Which city was the first capital of the French colony of Cote d'Ivoire?	Grand-Bassam	Bingerville	Abidjan	Yamoussoukro	Grand-Bassam was the first colonial capital from 1893. After a yellow fever outbreak the capital moved to Bingerville in 1900, and later to Abidjan.	10
Which historic town in Cabo Verde was formerly called Ribeira Grande?	Cidade Velha	Santa Maria	Sao Filipe	Pedra Badejo	Cidade Velha on Santiago was one of the first European towns in the tropics, once named Ribeira Grande. Its old centre is a World Heritage site.	10
In which city would you find the Tomb of Askia, built for the Songhai emperor?	Gao	Timbuktu	Segou	Djenne	The Tomb of Askia in Gao, Mali, was built around 1495 for Emperor Askia Muhammad. This mud-brick pyramid is a World Heritage site.	10
