question	correct	wrong1	wrong2	wrong3	explanation	time
At which Olympic Games did Abebe Bikila win his first marathon gold medal?	Rome 1960	Tokyo 1964	Mexico City 1968	Munich 1972	Abebe Bikila won the marathon in Rome on 10 September 1960 in 2:15:16, a world best. He was the first Black African athlete to win an Olympic gold medal.	10
What made Abebe Bikila's victory in the 1960 Olympic marathon especially famous?	He ran the whole race barefoot	He competed without an official coach	He led the race from the first kilometre	He ran the last ten kilometres injured	The shoes he was given did not fit well, so Bikila ran the Rome course with no shoes at all. About 500 metres from the finish he broke away from Rhadi Ben Abdesselam at the Obelisk of Axum, a monument Italy had taken from Ethiopia, then finished at the Arch of Constantine.	10
At the 1964 Tokyo Olympics, Abebe Bikila became the first man in history to do what?	Win the Olympic marathon twice	Win the Olympic marathon three times	Win the marathon and the 10,000m	Finish a marathon in under 2:10	Bikila won in Tokyo in 2:12:11, about six weeks after an operation for appendicitis. No man had ever defended an Olympic marathon title before. This time he wore shoes.	10
Which Ethiopian athlete won the men's Olympic marathon at Mexico City in 1968?	Mamo Wolde	Miruts Yifter	Haile Gebrselassie	Kenenisa Bekele	Mamo Wolde won in 2:20:26 after his teammate Abebe Bikila had to stop with a leg injury. Wolde also took the silver medal in the 10,000m at the same Games.	10
Which two events did Miruts Yifter win at the 1980 Moscow Olympics?	5000m and 10,000m	1500m and 5000m	10,000m and the marathon	800m and 1500m	Miruts Yifter completed the 5000m and 10,000m double in Moscow. His sudden finishing sprint earned him the nickname Yifter the Shifter.	10
Derartu Tulu won her first Olympic gold medal at Barcelona 1992 in which event?	10,000m	5000m	Marathon	1500m	Derartu Tulu won the 10,000m in Barcelona and became the first Black African woman to win an Olympic gold medal. She ran a lap of honour with South Africa's Elana Meyer, who took silver.	10
Which Ethiopian woman won the Olympic marathon at Atlanta 1996?	Fatuma Roba	Derartu Tulu	Meseret Defar	Tirunesh Dibaba	Fatuma Roba won in 2:26:05 and became the first African woman to win the Olympic marathon. She then won the Boston Marathon three years in a row from 1997.	10
Haile Gebrselassie won Olympic gold at both Atlanta 1996 and Sydney 2000 in which event?	10,000m	5000m	Marathon	3000m steeplechase	Haile Gebrselassie won the 10,000m at two Olympic Games in a row. Across his career he broke world records at distances from 2000m all the way up to the marathon.	10
Who finished second to Haile Gebrselassie in the extremely close men's 10,000m final at Sydney 2000?	Paul Tergat	Eliud Kipchoge	Kenenisa Bekele	Hicham El Guerrouj	Kenya's Paul Tergat lost by 0.09 seconds, one of the closest finishes in Olympic distance running. Tergat had also finished second to Gebrselassie in Atlanta four years earlier.	10
Which Ethiopian athlete won the women's 5000m at the Athens 2004 Olympics?	Meseret Defar	Tirunesh Dibaba	Gete Wami	Genzebe Dibaba	Meseret Defar won the 5000m in Athens at the age of 20. She won the same title again at London 2012, with a silver medal in Beijing in between, upgraded from bronze after a later doping disqualification.	10
Kenenisa Bekele defended his Olympic 10,000m title at Beijing 2008. Which second gold medal did he add there?	5000m	1500m	Marathon	3000m steeplechase	Kenenisa Bekele won the 10,000m in 2004 and again in 2008, then added the 5000m in Beijing for the double. He held the world records for both distances from 2004 until 2020.	10
Which Ethiopian woman was the first to win both the 5000m and the 10,000m at the same Olympic Games?	Tirunesh Dibaba	Meseret Defar	Almaz Ayana	Letesenbet Gidey	Tirunesh Dibaba completed the double at Beijing 2008, the first woman ever to do it. She kept her 10,000m title at London 2012.	10
Who won the women's Olympic marathon for Ethiopia at London 2012?	Tiki Gelana	Fatuma Roba	Mare Dibaba	Tirunesh Dibaba	Tiki Gelana won in 2:23:07, an Olympic record, on a wet London course. It was Ethiopia's second Olympic title in the women's marathon after Fatuma Roba in 1996.	10
Almaz Ayana set a world record of 29:17.45 while winning Olympic gold at Rio 2016. In which event?	10,000m	5000m	Marathon	3000m steeplechase	Almaz Ayana took more than 14 seconds off a 10,000m record that had stood since 1993. She also won the bronze medal in the 5000m in Rio.	10
Which Ethiopian athlete won the men's 10,000m at the Tokyo Olympics held in 2021?	Selemon Barega	Yomif Kejelcha	Berihu Aregawi	Tamirat Tola	Selemon Barega beat Uganda's Joshua Cheptegei and Jacob Kiplimo to the title. The Tokyo Games were moved from 2020 to 2021 because of COVID-19.	10
Which Ethiopian athlete won the men's marathon at the Paris 2024 Olympics?	Tamirat Tola	Kenenisa Bekele	Sisay Lemma	Mosinet Geremew	Tamirat Tola was only added to the team as a replacement for the injured Sisay Lemma, and he went on to win the race in an Olympic record.	10
What Olympic record time did Tamirat Tola run to win the men's marathon at Paris 2024?	2:06:26	2:01:09	2:08:44	2:04:30	Tola's 2:06:26 beat the Olympic record of 2:06:32 set by Samuel Wanjiru in Beijing in 2008. The Paris course was hilly, which makes the time even more impressive.	10
Genzebe Dibaba set a world record of 3:50.07 in Monaco in 2015 in which event?	1500m	800m	5000m	3000m	Genzebe Dibaba, the younger sister of Tirunesh, broke a 1500m record that had stood since 1993. She also holds the world indoor records for the mile and the 3000m.	10
Gudaf Tsegay ran 14:00.21 in Eugene in 2023 to break the world record in which event?	5000m	10,000m	1500m	3000m	Gudaf Tsegay ran 14:00.21 at the Prefontaine Classic in Eugene in September 2023. Kenya's Beatrice Chebet lowered the record to 13:58.06 at the same Eugene meeting in July 2025, the first woman under 14 minutes.	10
In which year did Ethiopia win its only men's Africa Cup of Nations football title?	1962	1957	1968	1976	Ethiopia hosted and won the third Africa Cup of Nations in January 1962. Ethiopia was also one of the four countries that founded CAF in 1957.	10
Which country did Ethiopia defeat in the final to win the 1962 Africa Cup of Nations?	Egypt	Sudan	Ghana	Nigeria	Egypt played as the United Arab Republic at the time and were the defending champions. Ethiopia beat them at the Haile Selassie Stadium in Addis Ababa.	10
What was the final score when Ethiopia defeated Egypt in the 1962 Africa Cup of Nations final?	4-2	2-0	3-1	1-0	Ethiopia came from behind twice to reach 2-2 at full time, then scored twice in extra time to win 4-2 on 21 January 1962.	10
Which Ethiopian scored the last goal of the 1962 Africa Cup of Nations final, late in extra time?	Mengistu Worku	Luciano Vassallo	Italo Vassallo	Tekle Kidane	Mengistu Worku sealed the 4-2 win in the closing minutes of extra time and was named the best player of the tournament. Tekle Kidane, Luciano Vassallo and Italo Vassallo scored the other Ethiopian goals.	10
Which Ethiopian was a joint top scorer at the 1962 Africa Cup of Nations with three goals?	Luciano Vassallo	Mengistu Worku	Italo Vassallo	Tekle Kidane	Luciano Vassallo shared the scoring lead with Egypt's Badawi Abdel Fattah, three goals each. He and his brother Italo both played and scored in the final.	10
Which Ethiopian city hosts the Great Ethiopian Run, one of Africa's best known mass participation road races?	Addis Ababa	Hawassa	Bahir Dar	Dire Dawa	The Great Ethiopian Run is a 10km race through the streets of Addis Ababa, first held in 2001 and normally staged every year. Tens of thousands of runners take part.	10
Which legendary Ethiopian athlete helped establish the Great Ethiopian Run?	Haile Gebrselassie	Kenenisa Bekele	Abebe Bikila	Miruts Yifter	Haile Gebrselassie started the race in 2001 together with the British runner Richard Nerurkar. Abebe Bikila died in 1973, long before the race began.	10
Which Ethiopian runner is the most successful athlete in the history of the World Cross Country Championships?	Kenenisa Bekele	Haile Gebrselassie	Miruts Yifter	Mamo Wolde	Kenenisa Bekele won 11 senior individual world cross country titles. From 2002 to 2006 he won both the short course and the long course race five years in a row.	10
